"directorio","secuencia_p","orden","clase","dominio","age","sex","estrato1","p6210","p6240","mes","relab","p6426","p6870","p6920","p7040","p7070","y_total_m_ha","maxEducLevel","totalHoursWorked","formal","informal","cuentaPropia","microEmpresa","sizeFirm","y_total_m","college","depto","ingtot"
4514381,1,1,1,"BOGOTA",73,0,2,3,1,1,3,96,1,1,2,0,4303.34912109375,4,40,1,0,0,1,1,737717,0,11,1.587717e-06
4514382,1,2,1,"BOGOTA",51,1,2,4,1,1,1,60,3,2,2,0,4861.111328125,5,48,0,1,0,1,2,1e+06,0,11,1e-06
4514383,1,3,1,"BOGOTA",47,1,3,5,1,1,4,120,1,2,2,0,1944.44445800781,6,60,0,1,1,1,1,5e+05,1,11,5e-07
4514384,1,6,1,"BOGOTA",29,0,3,5,1,1,1,14,6,1,2,0,6341.64990234375,6,40,1,0,0,0,4,1087140,1,11,1.23714e-06
4514388,1,2,1,"BOGOTA",24,0,3,5,1,1,1,24,9,1,2,0,4545.94921875,6,48,1,0,0,0,5,935166.6875,1,11,9.35166666666667e-07
4514388,1,1,1,"BOGOTA",27,1,3,5,1,1,1,24,9,1,2,0,4575.11572265625,6,48,1,0,0,0,5,941166.6875,1,11,9.41166666666667e-07
4514390,1,2,1,"BOGOTA",52,0,4,6,1,1,2,60,9,1,2,0,31206.173828125,7,45,1,0,0,0,5,6018333.5,0,11,6.01833333333333e-06
4514390,1,4,1,"BOGOTA",25,1,4,6,1,1,1,6,9,1,2,0,7104.38427734375,7,48,1,0,0,0,5,1461473.375,0,11,1.46147333333333e-06
4514391,1,2,1,"BOGOTA",30,0,4,6,1,1,1,24,7,1,2,0,10532.408203125,7,48,1,0,0,0,4,2166666.75,0,11,2.16666666666667e-06
4514395,1,3,1,"BOGOTA",19,0,3,6,1,1,1,18,9,1,2,0,4456.0185546875,7,48,1,0,0,0,5,916666.6875,0,11,9.16666666666667e-07
4514395,1,4,1,"BOGOTA",18,0,3,6,1,1,1,37,4,1,2,0,4901.6201171875,7,48,1,0,0,0,3,1008333.3125,0,11,1.30833333333333e-06
4514398,1,3,1,"BOGOTA",33,0,4,6,1,1,1,8,4,1,2,0,5055.5556640625,7,30,1,0,0,0,3,650000,0,11,6.5e-07
4514402,1,2,1,"BOGOTA",49,1,2,5,1,1,4,120,1,2,2,0,222.222213745117,6,70,0,1,1,1,1,66666.6640625,1,11,4.5e-07
4514402,1,1,1,"BOGOTA",53,0,2,5,1,1,1,24,9,1,2,0,4131.24951171875,6,48,1,0,0,0,5,849857,1,11,8.49857e-07
4514405,1,1,1,"BOGOTA",47,1,2,5,1,1,1,48,4,2,2,0,12444.4443359375,6,60,0,1,0,0,3,3200000,1,11,3.2e-06
4514409,1,1,1,"BOGOTA",42,0,2,5,1,1,4,36,1,2,2,0,4666.66650390625,6,40,0,1,1,1,1,8e+05,1,11,8.16666666666667e-07
4514409,1,2,1,"BOGOTA",23,1,2,5,1,1,1,3,3,2,2,0,2333.33325195312,6,80,0,1,0,1,2,8e+05,1,11,8e-07
4514411,1,3,1,"BOGOTA",22,1,3,5,1,1,1,24,9,1,2,0,3727.90673828125,6,48,1,0,0,0,5,766883.6875,1,11,7.66883666666667e-07
4514411,1,4,1,"BOGOTA",21,0,3,5,1,1,1,7,2,1,2,0,3586.12426757812,6,48,1,0,0,1,2,737717,1,11,7.37717e-07
4514411,1,1,1,"BOGOTA",47,1,3,5,1,1,1,48,6,1,2,0,3727.90673828125,6,48,1,0,0,0,4,766883.6875,1,11,7.66883666666667e-07
4514411,1,2,1,"BOGOTA",50,0,3,5,1,1,1,120,9,1,2,0,3883.86767578125,6,48,1,0,0,0,5,798967.0625,1,11,7.98967e-07
4514412,1,1,1,"BOGOTA",35,1,3,6,1,1,1,144,9,1,2,0,7193.54248046875,7,50,1,0,0,0,5,1541473.375,0,11,1.54147333333333e-06
4514413,1,3,1,"BOGOTA",24,0,2,6,1,1,1,12,9,1,2,0,5487.4814453125,7,45,1,0,0,0,5,1058300,0,11,1.0583e-06
4514413,1,2,1,"BOGOTA",47,0,2,4,1,1,3,96,1,2,2,0,2074.07397460938,5,36,0,1,0,1,1,320000,0,11,7.2e-07
4514414,1,1,1,"BOGOTA",43,1,2,5,1,1,4,60,1,2,2,0,6666.66650390625,6,70,0,1,1,1,1,2e+06,1,11,2.3e-06
4514415,1,3,1,"BOGOTA",19,1,3,5,1,1,4,14,4,2,2,0,8263.888671875,6,48,0,1,1,0,3,1700000,1,11,1.7e-06
4514415,1,1,1,"BOGOTA",46,0,3,5,1,1,3,2,1,2,2,0,2100,6,40,0,1,0,1,1,360000,1,11,5.3e-07
4514416,1,2,1,"BOGOTA",57,0,2,5,1,1,1,36,9,1,2,0,3791.66674804688,6,48,1,0,0,0,5,780000,1,11,8.38333e-07
4514416,1,5,1,"BOGOTA",20,0,2,6,1,1,1,7,5,1,2,0,3586.12426757812,7,48,1,0,0,0,4,737717,0,11,7.37717e-07
4514418,1,1,1,"BOGOTA",57,0,2,4,1,1,4,120,1,3,2,0,5833.33349609375,5,32,1,0,1,1,1,8e+05,0,11,1.62e-06
4514420,1,2,1,"BOGOTA",25,1,2,5,1,1,1,30,9,1,2,0,6196.9765625,6,48,1,0,0,0,5,1274806.625,1,11,1.27480666666667e-06
4514422,1,1,1,"BOGOTA",46,1,2,5,1,1,1,72,5,1,2,0,12133.3330078125,6,50,1,0,0,0,4,2600000,1,11,2.6e-06
4514423,1,3,1,"BOGOTA",25,1,2,5,1,1,1,1,9,1,2,0,4618.0556640625,6,48,1,0,0,0,5,950000,1,11,9.5e-07
4514424,1,1,1,"BOGOTA",31,0,3,6,1,1,1,24,9,1,2,0,10532.408203125,7,48,1,0,0,0,5,2166666.75,0,11,2.16666666666667e-06
4514429,1,1,1,"BOGOTA",26,1,2,5,1,1,1,24,3,2,2,0,5833.33349609375,6,48,0,1,0,1,2,1200000,1,11,1.2e-06
4514430,1,1,1,"BOGOTA",31,1,3,6,1,1,5,36,2,1,2,0,21875,7,48,1,0,0,1,2,4500000,0,11,4.5e-06
4514431,1,1,1,"BOGOTA",52,1,2,4,1,1,1,96,9,1,2,0,5670.3564453125,5,48,1,0,0,0,5,1166473.375,0,11,1.16647333333333e-06
4514431,1,2,1,"BOGOTA",51,0,2,4,1,1,1,24,9,1,2,0,4289.12109375,5,48,1,0,0,0,5,882333.4375,0,11,8.82333416666667e-07
4514433,1,2,1,"BOGOTA",49,0,2,5,1,1,4,24,3,2,2,0,1458.33337402344,6,48,0,1,1,1,2,3e+05,1,11,3e-07
4514433,1,1,1,"BOGOTA",60,1,2,5,1,1,1,12,9,1,2,0,6408.62939453125,6,54,1,0,0,0,5,1483140,1,11,1.48314e-06
4514434,1,1,1,"BOGOTA",30,1,3,5,1,1,1,84,4,1,2,0,6342.81005859375,6,48,1,0,0,0,3,1304806.625,1,11,1.38814e-06
4514434,2,1,1,"BOGOTA",32,1,3,4,1,1,1,1,3,2,2,0,2500,5,84,0,1,0,1,2,9e+05,0,11,9e-07
4514434,4,1,1,"BOGOTA",27,1,3,3,1,1,1,1,4,1,2,0,5945.8193359375,3,48,1,0,0,0,3,1223140,0,11,1.22314e-06
4514435,1,3,1,"BOGOTA",21,1,3,6,1,1,1,11,9,1,2,0,3586.12426757812,7,48,1,0,0,0,5,737717,0,11,8.37717e-07
4514436,1,1,1,"BOGOTA",30,1,2,6,1,1,1,0,9,1,2,0,4861.111328125,7,48,1,0,0,0,5,1e+06,0,11,1e-06
4514438,1,3,1,"BOGOTA",27,1,3,6,1,1,1,48,9,1,2,0,16333.3330078125,7,45,1,0,0,0,5,3150000,0,11,3.15e-06
